City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,lagoa,39.05,-27.9833,19.27,66,95,4.99,PT,1696218716
119,invercargill,-46.4,168.35,6.68,87,100,6.71,NZ,1696218716
120,udachny,66.4167,112.4,-0.86,92,100,7.56,RU,1696218716
121,shimoda,34.6667,138.95,25.2,66,54,5.53,JP,1696218717
122,wladyslawowo,54.7909,18.4009,13.85,90,19,3.5,PL,1696218717
123,ha'il,27.5219,41.6907,26.01,21,0,4.12,SA,1696218717
124,san jeronimo de juarez,17.1333,-100.4667,27.16,85,98,1.67,MX,1696218717
125,moultrie,31.1799,-83.7891,22.12,78,0,1.54,US,1696218717
126,takoradi,4.8845,-1.7554,24.43,92,22,2.67,GH,1696218717
127,xinyang,32.1228,114.0656,17.04,93,100,3.25,CN,1696218717
128,crane,31.3974,-102.3501,24.63,63,8,7.9,US,1696218718
129,san javier,37.8063,-0.8374,20.55,68,0,2.68,ES,1696218718
130,katsuura,35.1333,140.3,23.11,60,98,7.48,JP,1696218718
131,avarua,-21.2078,-159.775,22.03,88,75,5.14,CK,1696218718
132,coquimbo,-29.9533,-71.3436,13.85,76,100,1.03,CL,1696218718
133,noosa heads,-26.3833,153.15,27.41,57,0,5.09,AU,1696218719
134,college,64.8569,-147.8028,5.81,85,100,2.57,US,1696218698
135,rio claro,-22.4114,-47.5614,20.15,94,53,0.4,BR,1696218719
136,fisterra,42.9049,-9.2629,16.53,89,35,5.38,ES,1696218719
137,muroto-misakicho,33.2833,134.15,23.65,57,100,2.38,JP,1696218719
138,ta`u,-14.2336,-169.5144,26.61,79,51,8.98,AS,1696218719
139,mana,5.6592,-53.7767,26.59,84,74,6.1,GF,1696218720
140,wailua homesteads,22.0669,-159.378,29.24,82,40,6.69,US,1696218720
141,weno,7.4515,151.8468,30.97,79,75,1.54,FM,1696218720
142,nadym,65.5333,72.5167,7.96,94,100,7.25,RU,1696218720
143,shorkot,31.9099,70.8774,30.32,15,0,1.6,PK,1696218720
144,happy valley-goose bay,53.3168,-60.3315,9.17,66,75,1.03,CA,1696218720
